order_month,business_segment,revenue,monthly_pct
201801,"All Segments",794.30,100%
201801,stationery,634.40,80%
201801,bed_bath_table,89.90,11%
201801,food_supplement,70.00,9%
201802,"All Segments",11264.25,100%
201802,watches,5935.46,53%
201802,music_instruments,1447.90,13%
201802,home_decor,1042.50,9%
201802,construction_tools_house_garden,677.56,6%
201802,household_utilities,443.60,4%
201802,food_supplement,370.80,3%
201802,bed_bath_table,262.40,2%
201802,toys,234.69,2%
201802,pet,211.96,2%
201802,car_accessories,178.90,2%
201802,baby,148.98,1%
201802,small_appliances,140.00,1%
201802,stationery,76.00,1%
201802,bags_backpacks,45.50,0%
201802,health_beauty,28.00,0%
201802,audio_video_electronics,20.00,0%
201803,"All Segments",54199.21,100%
201803,watches,27989.45,52%
201803,small_appliances,12620.00,23%
201803,audio_video_electronics,2842.87,5%
201803,food_supplement,2397.74,4%
201803,household_utilities,2233.49,4%
201803,construction_tools_house_garden,1154.44,2%
201803,stationery,820.40,2%
201803,bed_bath_table,679.59,1%
201803,phone_mobile,642.00,1%
201803,health_beauty,567.50,1%
201803,home_decor,531.50,1%
201803,pet,377.86,1%
201803,sports_leisure,362.10,1%
201803,car_accessories,347.00,1%
201803,toys,238.10,0%
201803,music_instruments,179.90,0%
201803,home_appliances,145.97,0%
201803,computers,34.50,0%
201803,books,19.90,0%
201803,food_drink,14.90,0%
201804,"All Segments",82764.59,100%
201804,watches,21467.90,26%
201804,small_appliances,12529.90,15%
201804,health_beauty,6805.16,8%
201804,baby,6113.15,7%
201804,household_utilities,5008.94,6%
201804,pet,4586.34,6%
201804,car_accessories,4266.00,5%
201804,audio_video_electronics,3074.49,4%
201804,home_decor,2906.34,4%
201804,construction_tools_house_garden,2611.66,3%
201804,bed_bath_table,2604.09,3%
201804,food_supplement,2368.75,3%
201804,sports_leisure,2162.48,3%
201804,phone_mobile,1189.90,1%
201804,toys,923.06,1%
201804,home_appliances,869.98,1%
201804,stationery,759.84,1%
201804,bags_backpacks,720.37,1%
201804,computers,599.50,1%
201804,music_instruments,439.79,1%
201804,books,344.45,0%
201804,food_drink,223.50,0%
201804,gifts,189.00,0%
201805,"All Segments",123175.19,100%
201805,watches,31186.91,25%
201805,health_beauty,17061.91,14%
201805,small_appliances,14447.50,12%
201805,household_utilities,10153.85,8%
201805,audio_video_electronics,9813.11,8%
201805,construction_tools_house_garden,6499.96,5%
201805,home_decor,6085.17,5%
201805,pet,4215.38,3%
201805,car_accessories,3451.86,3%
201805,bed_bath_table,3330.90,3%
201805,books,3023.27,2%
201805,home_office_furniture,2736.57,2%
201805,sports_leisure,2472.48,2%
201805,bags_backpacks,2216.66,2%
201805,computers,1425.91,1%
201805,food_supplement,1422.50,1%
201805,fashion_accessories,676.70,1%
201805,toys,670.41,1%
201805,music_instruments,494.86,0%
201805,home_appliances,435.00,0%
201805,stationery,422.80,0%
201805,food_drink,413.80,0%
201805,baby,364.78,0%
201805,phone_mobile,152.90,0%
201806,"All Segments",110900.02,100%
201806,health_beauty,25298.46,23%
201806,watches,11547.88,10%
201806,household_utilities,10497.65,9%
201806,audio_video_electronics,10067.49,9%
201806,home_decor,8414.03,8%
201806,car_accessories,5414.06,5%
201806,pet,5393.87,5%
201806,construction_tools_house_garden,4591.75,4%
201806,baby,4283.87,4%
201806,small_appliances,3909.80,4%
201806,bags_backpacks,3183.85,3%
201806,home_appliances,2494.49,2%
201806,stationery,2397.94,2%
201806,sports_leisure,2263.28,2%
201806,bed_bath_table,2133.39,2%
201806,phone_mobile,1247.59,1%
201806,toys,1116.54,1%
201806,food_supplement,1093.89,1%
201806,home_office_furniture,1020.83,1%
201806,books,1020.19,1%
201806,fashion_accessories,1016.90,1%
201806,music_instruments,973.59,1%
201806,computers,840.48,1%
201806,food_drink,302.40,0%
201806,air_conditioning,282.00,0%
201806,handcrafted,93.80,0%
201807,"All Segments",134591.92,100%
201807,health_beauty,20234.70,15%
201807,home_appliances,16278.83,12%
201807,audio_video_electronics,12017.70,9%
201807,household_utilities,11568.15,9%
201807,home_decor,10980.97,8%
201807,pet,9526.63,7%
201807,construction_tools_house_garden,8512.30,6%
201807,watches,7393.44,5%
201807,car_accessories,6637.60,5%
201807,fashion_accessories,5162.90,4%
201807,sports_leisure,4401.55,3%
201807,home_office_furniture,2884.44,2%
201807,bed_bath_table,2335.46,2%
201807,bags_backpacks,2295.48,2%
201807,stationery,2171.40,2%
201807,books,1554.74,1%
201807,computers,1440.48,1%
201807,baby,1397.68,1%
201807,food_supplement,1305.07,1%
201807,music_instruments,1189.70,1%
201807,small_appliances,1187.20,1%
201807,toys,1153.53,1%
201807,food_drink,1148.49,1%
201807,gifts,482.98,0%
201807,phone_mobile,449.70,0%
201807,games_consoles,438.00,0%
201807,air_conditioning,278.00,0%
201807,handcrafted,164.80,0%
201808,"All Segments",147168.52,100%
201808,health_beauty,18928.61,13%
201808,pet,16186.79,11%
201808,home_decor,13848.82,9%
201808,audio_video_electronics,11587.78,8%
201808,household_utilities,11375.19,8%
201808,watches,10380.04,7%
201808,car_accessories,9710.56,7%
201808,construction_tools_house_garden,7959.40,5%
201808,computers,7431.42,5%
201808,home_appliances,6016.90,4%
201808,bags_backpacks,5471.95,4%
201808,bed_bath_table,4012.80,3%
201808,sports_leisure,3929.63,3%
201808,home_office_furniture,3258.72,2%
201808,small_appliances,2840.47,2%
201808,air_conditioning,2090.00,1%
201808,baby,1902.50,1%
201808,food_drink,1599.84,1%
201808,food_supplement,1335.30,1%
201808,toys,1220.53,1%
201808,music_instruments,1113.90,1%
201808,books,980.34,1%
201808,fashion_accessories,974.58,1%
201808,stationery,848.58,1%
201808,handcrafted,617.30,0%
201808,phone_mobile,599.30,0%
201808,party,388.98,0%
201808,gifts,339.29,0%
201808,games_consoles,219.00,0%
"All Month","All Segments",664858.00,100%
